я	例句：На доске написали термин «я».（他们在黑板上写下了我这个词。）
я	例句：В этой фразе я не нахожу точного смысла слова я.（在这个句子里，我找不到我的确切意思。）
я	例句：Словарь относит я к самым частотным запросам.（词典把我列为查询最多的词条之一。）
не	例句：В этой фразе я не нахожу точного смысла слова не.（在这个句子里，我找不到不的确切意思。）
не	例句：Словарь относит не к самым частотным запросам.（词典把不列为查询最多的词条之一。）
не	例句：Как перевести слово не на китайский?（不用中文怎么说？）
ты	例句：Словарь относит ты к самым частотным запросам.（词典把你列为查询最多的词条之一。）
ты	例句：Как перевести слово ты на китайский?（你用中文怎么说？）
ты	例句：Учитель написал ты на доске и попросил пример.（老师在黑板上写下你，让我们造个句子。）
что	例句：Как перевести слово что на китайский?（什么用中文怎么说？）
что	例句：Учитель написал что на доске и попросил пример.（老师在黑板上写下什么，让我们造个句子。）
что	例句：В этом тексте что употребляется в ином оттенке.（在这篇文章里，什么的用法略有不同。）
это	例句：Учитель написал это на доске и попросил пример.（老师在黑板上写下这是，让我们造个句子。）
это	例句：В этом тексте это употребляется в ином оттенке.（在这篇文章里，这是的用法略有不同。）
это	例句：Повтори, пожалуйста, слово это ещё раз.（请再把这是念一遍。）
в	例句：В этом тексте в употребляется в ином оттенке.（在这篇文章里，在……里的用法略有不同。）
в	例句：Повтори, пожалуйста, слово в ещё раз.（请再把在……里念一遍。）
в	例句：Подчеркни слово в в третьей строке.（请在第三行标出在……里这个词。）
и	例句：Повтори, пожалуйста, слово и ещё раз.（请再把和念一遍。）
и	例句：Подчеркни слово и в третьей строке.（请在第三行标出和这个词。）
и	例句：Употребление слова и сильно различается между странами.（和的用法在不同国家差别很大。）
он	例句：Подчеркни слово он в третьей строке.（请在第三行标出他这个词。）
он	例句：Употребление слова он сильно различается между странами.（他的用法在不同国家差别很大。）
он	例句：Мне трудно отличить он от похожих слов.（我很难把他和相近的词区分开。）
быть	例句：Мне трудно быть, но с каждым днём получается лучше.（是对我来说很难，但每天都做得好一点。）
быть	例句：Он сказал, что предпочёл бы быть дома.（他告诉我他更愿意在家里是。）
быть	例句：После того как он долго быть, он почувствовал усталость.（长时间是之后，他感到疲惫。）
мы	例句：Мне трудно отличить мы от похожих слов.（我很难把我们和相近的词区分开。）
мы	例句：Эта глава объясняет, когда употребляется мы.（这一章讲解什么时候用我们。）
мы	例句：Слово мы встречается в этом диалоге несколько раз.（在这段对话里，我们这个词出现了好几次。）
вы	例句：Эта глава объясняет, когда употребляется вы.（这一章讲解什么时候用您。）
вы	例句：Слово вы встречается в этом диалоге несколько раз.（在这段对话里，您这个词出现了好几次。）
вы	例句：На доске написали термин «вы».（他们在黑板上写下了您这个词。）
с	例句：Слово с встречается в этом диалоге несколько раз.（在这段对话里，和……一起这个词出现了好几次。）
с	例句：На доске написали термин «с».（他们在黑板上写下了和……一起这个词。）
с	例句：В этой фразе я не нахожу точного смысла слова с.（在这个句子里，我找不到和……一起的确切意思。）
на	例句：На доске написали термин «на».（他们在黑板上写下了在……上这个词。）
на	例句：В этой фразе я не нахожу точного смысла слова на.（在这个句子里，我找不到在……上的确切意思。）
на	例句：Словарь относит на к самым частотным запросам.（词典把在……上列为查询最多的词条之一。）
она	例句：В этой фразе я не нахожу точного смысла слова она.（在这个句子里，我找不到她的确切意思。）
она	例句：Словарь относит она к самым частотным запросам.（词典把她列为查询最多的词条之一。）
она	例句：Как перевести слово она на китайский?（她用中文怎么说？）
как	例句：Словарь относит как к самым частотным запросам.（词典把怎样列为查询最多的词条之一。）
как	例句：Как перевести слово как на китайский?（怎样用中文怎么说？）
как	例句：Учитель написал как на доске и попросил пример.（老师在黑板上写下怎样，让我们造个句子。）
они	例句：Как перевести слово они на китайский?（他们用中文怎么说？）
они	例句：Учитель написал они на доске и попросил пример.（老师在黑板上写下他们，让我们造个句子。）
они	例句：В этом тексте они употребляется в ином оттенке.（在这篇文章里，他们的用法略有不同。）
мочь	例句：О мочи написано немало научных работ.（关于能已经有不少学术著作。）
мочь	例句：Его диссертация посвящена мочи средневековья.（他的博士论文研究的是中世纪的能。）
мочь	例句：На экзамене был вопрос о мочи.（考试里出了一道关于能的题。）
да	例句：В этом тексте да употребляется в ином оттенке.（在这篇文章里，是的的用法略有不同。）
да	例句：Повтори, пожалуйста, слово да ещё раз.（请再把是的念一遍。）
да	例句：Подчеркни слово да в третьей строке.（请在第三行标出是的这个词。）
всё	例句：Повтори, пожалуйста, слово всё ещё раз.（请再把一切念一遍。）
всё	例句：Подчеркни слово всё в третьей строке.（请在第三行标出一切这个词。）
всё	例句：Употребление слова всё сильно различается между странами.（一切的用法在不同国家差别很大。）
у	例句：Подчеркни слово у в третьей строке.（请在第三行标出在……那里这个词。）
у	例句：Употребление слова у сильно различается между странами.（在……那里的用法在不同国家差别很大。）
у	例句：Мне трудно отличить у от похожих слов.（我很难把在……那里和相近的词区分开。）
нет	例句：Употребление слова нет сильно различается между странами.（不的用法在不同国家差别很大。）
нет	例句：Мне трудно отличить нет от похожих слов.（我很难把不和相近的词区分开。）
нет	例句：Эта глава объясняет, когда употребляется нет.（这一章讲解什么时候用不。）
