выбросить	扔掉；抛弃	a2
масло	油；黄油	a1
запретить	禁止	b1
смена	换班；改变	a2
вывести	带出；得出；使离开	a2
мост	桥	a1
округ	行政区；区	b1
симпатичный	讨人喜欢的；帅的	a2
кусочек	一小块	a2
безумный	疯狂的；荒唐的	a2
представление	概念；演出；想法	b1
поиграть	玩一会儿	a2
фамилия	姓；姓氏	a1
улыбаться	微笑	a1
прочь	走开；离开	a2
страница	页；页面	a1
пробовать	尝试	a1
дерзить	顶撞；顶嘴	b2
травма	外伤；创伤	b1
испытывать	经历；感到	a2
кошка	母猫	a1
по-твоему	照你的说法；按你的方式	a2
неплохой	不错的	a1
издеваться	嘲弄；欺负	b1
достойный	值得的；应得的	b1
отпуск	休假	a2
французский	法国的；法语的	a2
пообещать	答应	a2
игрок	选手；玩家	a2
суббота	星期六	a1
сценарий	剧本	b1
спальня	卧室	a1
атака	进攻；攻击	b1
канал	频道；运河；水道	a2
впереди	在前面；前方	a2
реально	真的；实际上（口语）	a2
демон	恶魔；魔鬼	b1
пожениться	结婚	a2
зря	白白地；徒劳	a2
ручка	笔；把手	a1
бегать	跑；（不定向）奔跑	a1
труд	劳动；著作	b1
устройство	装置；结构；安排	b1
северный	北方的；北部的	a2
меняться	交换；改变；互换	a2
парк	公园	a1
руль	方向盘；舵	a2
создавать	创造；建立	a2
копия	副本；复制品	b1
сладкий	甜的	a1
сок	果汁	a1
наедине	单独地；私下	b1
ложиться	躺下；就寝	a2
отвалить	滚开（粗鲁口语）	b1
слеза	眼泪	a2
выступать	演出；发言	a2
мастер	师傅；能手	a2
пожар	火灾	a2
задача	任务；习题	a2
собрание	会议；集会	b1
организовать	组织	a2
перерыв	休息；中断	a2
предоставить	提供；给予	b1
направляться	前往；朝…去	b1
медленно	慢地	a1
извинение	道歉；歉意	a2
талант	才能；天赋	a2
четвёртый	第四	a1
развод	离婚	b1
поживать	生活；过得（怎样）	b1
изучать	研究；学习	a2
вред	害处；损害	a2
холодно	冷	a1
насилие	暴力	b1
выслушать	听完	a2
холодный	冷的	a1
множество	大量；许多	a2
ученик	学生	a1
участие	参加；参与	b1
парочка	一对；情侣	a2
сигарета	香烟	a2
жалкий	可怜的；卑劣的	b2
пирог	馅饼；大圆面包	a1
дикий	野生的；野蛮的	a2
внезапно	突然	a2
свинья	猪	a2
малышка	小宝贝；小姑娘（口语）	a2
партия	党；局（比赛）；一批	b1
чудесно	好极了；出色地	a2
маска	面具	a2
специально	特意；专门	a2
версия	版本；说法	b1
самоубийство	自杀	b1
наука	科学	a2
сумма	总数；金额	a2
обмануть	欺骗	a2
сжечь	烧毁	a2
живот	肚子；腹部	a1
строить	建造；建设	a2
направление	方向；路线	a2
творить	创造；创作	b1
кот	公猫	a1
реальность	现实；真实	b1
вновь	重新；又	a2
охотиться	打猎；捕猎	a2
пожелать	祝愿；希望	b1
потребоваться	需要；用得上	b1
дыра	洞；破洞	a2
ордер	令状；拘留令	b2
ворота	大门；球门	a2
предупреждать	警告；预先通知	a2
очки	眼镜	a1
приближаться	接近；靠近	a2
фургон	厢式货车	b1
совершать	犯（错）；完成	b1
мусор	垃圾	a1
выстрелить	开枪	a2
берег	岸；岸边	a1
догадаться	猜到；明白	a2
лишний	多余的	a2
родственник	亲戚	a2
взяться	着手做；抓住	a2
надоесть	使厌烦	a2
газ	气体；煤气	a2
концерт	音乐会	a2
отстать	落后；掉队	a2
толпа	人群	b1
крик	喊叫	a1
вор	小偷	a2
процент	百分比	a2
значить	意味着；意思是	a2
раскрыть	打开；揭开；揭露	a2
напарник	搭档	b1
найтись	找到；想出办法	a2
выпивка	酒；酒类（口语）	a2
тянуть	拉；拖	a2
голый	裸体的	a2
пляж	海滩	a1
священник	神父；牧师	b1
превратиться	变成	b1
спасение	拯救；解救	b1
горло	喉咙	a2
могила	坟墓	b1
шляпа	帽子	a2
доверие	信任	b1
рынок	市场	a2
исключение	例外	b1
ставка	赌注；利率；岗位	b1
пресса	新闻界；报刊	b1
поискать	找一找	a2
угу	嗯（口语应答）	a1
синий	蓝色的	a1
телефонный	电话的	a2
псих	疯子（口语）	b1
